"Date,NY,SF\n" 
"20070101,46;51;56,43;45;48\n" 
"20070102,43;48;52,48;56;63\n" 
"20070103,39;46;53,50;54;62\n" 
"20070104,44;51;58,45;52;56\n" 
"20070105,51;57;62,44;49;58\n" 
"20070106,55;64;72,40;50;60\n" 
"20070107,46;51;56,45;53;63\n" 
"20070108,40;49;57,43;53;64\n" 
"20070109,37;41;45,49;56;66\n" 
"20070110,31;35;38,45;49;54\n" 
"20070111,29;35;41,41;46;54\n" 
"20070112,39;45;50,41;44;49\n" 
"20070113,46;52;57,38;44;53\n" 
"20070114,42;44;46,36;43;51\n" 
"20070115,41;46;51,36;46;55\n" 
"20070116,25;41;57,37;45;54\n"
"20070117,21;26;31,41;47;56\n"
"20070118,25;32;38,38;48;61\n"
"20070119,33;38;43,\n" 
"20070120,23;29;35,\n" 
"20070121,21;26;31,55;60;68\n" 
"20070122,28;31;34,44;54;66\n" 
"20070123,30;34;38,41;51;64\n" 
"20070124,34;37;40,42;51;64\n" 
"20070125,17;27;37,45;49;56\n" 
"20070126,11;18;24,44;48;52\n" 
"20070127,22;32;41,47;52;58\n" 
"20070128,32;38;43,48;52;60\n" 
"20070129,24;28;32,47;55;64\n" 
"20070130,23;30;37,51;54;56\n" 
"20070131,27;31;34,49;52;56\n" 
"20070201,28;33;37,46;50;52\n" 
"20070202,34;37;39,47;51;57\n" 
"20070203,25;32;38,42;51;62\n" 
"20070204,18;25;31,44;55;69\n" 
"20070205,10;15;20,48;55;68\n" 
"20070206,13;20;26,48;54;62\n" 
"20070207,14;21;27,51;56;62\n" 
"20070208,17;24;30,49;54;56\n" 
"20070209,20;27;33,55;56;58\n" 

